City,Country,Date,Temperature,Humidity,Wind Speed,Cloudiness,Latitude,Longitude
busselton,AU,1572727275,10.14,70,2.73,82,-33.64,115.35
rikitea,PF,1572727275,21.39,80,6.84,57,-23.12,-134.97
lorengau,PG,1572727275,26.68,75,1.02,100,-2.02,147.27
ligayan,PH,1572727275,28.53,71,2.47,99,4.65,119.47
bandarbeyla,SO,1572727275,27.9,72,2.0,41,9.49,50.81
ushuaia,AR,1572727276,10.0,61,9.8,75,-54.81,-68.31
maragogi,BR,1572727276,26.4,75,5.51,26,-9.01,-35.22
rio grande,BR,1572727276,22.58,94,2.6,90,-32.03,-52.1
naze,NG,1572727276,25.0,94,2.1,75,5.43,7.07
mar del plata,AR,1572727276,18.85,29,13.91,33,-46.43,-67.52
anqing,CN,1572727276,18.68,49,2.12,93,30.51,117.04
dikson,RU,1572727276,-18.41,83,0.45,64,73.51,80.55
yerbogachen,RU,1572727276,-3.83,86,6.32,94,61.28,108.01
avarua,CK,1572727276,26.0,65,7.7,100,-21.21,-159.78
sao joao da barra,BR,1572727276,25.96,65,7.7,40,-21.64,-41.05
balabac,PH,1572727277,26.33,81,3.98,100,7.99,117.06
qaanaaq,GL,1572727277,-10.3,58,3.79,100,77.48,-69.36
homer,US,1572727277,4.2,93,0.39,90,59.64,-151.54
port elizabeth,US,1572727277,12.13,46,2.56,1,39.31,-74.98
dabhol,IN,1572727277,26.43,84,4.63,3,17.6,73.17
hilo,US,1572727277,26.71,58,5.25,1,19.71,-155.08
ponta do sol,BR,1572727277,22.34,82,1.72,37,-20.63,-46.0
smoky lake,CA,1572727277,6.67,85,2.24,100,54.11,-112.47
new norfolk,AU,1572727277,10.36,81,3.1,20,-42.78,147.06
belmonte,PT,1572727277,13.93,78,4.85,100,40.36,-7.35
calama,CL,1572727277,23.94,13,11.3,38,-22.46,-68.93
talnakh,RU,1572727277,-21.4,98,3.07,100,69.49,88.39
waipawa,NZ,1572727278,19.44,65,0.45,0,-39.94,176.59
pierre,US,1572727034,11.5,29,4.1,1,44.37,-100.35
kiruna,SE,1572727264,-14.0,77,3.6,0,67.86,20.23
la rioja,AR,1572727278,20.43,38,3.85,14,-29.41,-66.86
kodiak,US,1572727278,10.48,37,6.2,40,39.95,-94.76
albany,US,1572727278,8.25,43,3.6,20,42.65,-73.75
punta arenas,CL,1572727278,11.82,54,15.4,100,-53.16,-70.91
barrow,AR,1572727278,15.39,60,5.41,0,-38.31,-60.23
cape town,ZA,1572727278,17.81,82,4.6,40,-33.93,18.42
hermanus,ZA,1572727278,17.16,83,3.58,100,-34.42,19.24
srikakulam,IN,1572727278,22.53,91,1.44,19,18.29,83.89
